untagged_sentence,tagged_sentence
"['For', '20', 'years', 'he', 'has', 'enjoyed', 'his', 'power', 'on', 'the', 'Rules', 'Committee', '.']","[('For', 'IN'), ('20', 'CD'), ('years', 'NN'), ('he', 'PP'), ('has', 'HV'), ('enjoyed', 'VB'), ('his', 'PP'), ('power', 'NN'), ('on', 'IN'), ('the', 'AT'), ('Rules', 'NN'), ('Committee', 'NN'), ('.', '.')]"
"['For', 'two', 'decades', 'ago', 'in', 'Go', 'Down', ',', 'Moses', 'Faulkner', 'was', 'looking', 'to', 'the', 'more', 'urban', 'future', 'with', 'a', 'glimmer', 'of', 'hope', 'that', 'through', 'its', 'youth', 'and', 'its', 'new', 'way', 'of', 'life', 'the', 'South', 'might', 'be', 'reborn', 'and', 'the', 'curse', 'of', 'slavery', 'erased', 'from', 'its', 'soil', '.']","[('For', 'RB'), ('two', 'CD'), ('decades', 'NN'), ('ago', 'RB'), ('in', 'IN'), ('Go', 'VB'), ('Down', 'RB'), (',', ','), ('Moses', 'NP'), ('Faulkner', 'NP'), ('was', 'BE'), ('looking', 'VB'), ('to', 'IN'), ('the', 'AT'), ('more', 'QL'), ('urban', 'JJ'), ('future', 'NN'), ('with', 'IN'), ('a', 'AT'), ('glimmer', 'NN'), ('of', 'IN'), ('hope', 'NN'), ('that', 'CS'), ('through', 'IN'), ('its', 'PP'), ('youth', 'NN'), ('and', 'CC'), ('its', 'PP'), ('new', 'JJ'), ('way', 'NN'), ('of', 'IN'), ('life', 'NN'), ('the', 'AT'), ('South', 'NR'), ('might', 'MD'), ('be', 'BE'), ('reborn', 'VB'), ('and', 'CC'), ('the', 'AT'), ('curse', 'NN'), ('of', 'IN'), ('slavery', 'NN'), ('erased', 'VB'), ('from', 'IN'), ('its', 'PP'), ('soil', 'NN'), ('.', '.')]"
"['Through', 'the', 'swathings', 'of', 'terror', ',', 'she', 'jabbed', ""deceit's"", 'sharp', 'point', '--', 'Amy', 'would', 'be', 'reborn', ',', 'a', 'new', 'child', ',', 'with', 'new', 'parents', ',', 'living', 'under', 'new', 'circumstances', '.']","[('Through', 'IN'), ('the', 'AT'), ('swathings', 'NN'), ('of', 'IN'), ('terror', 'NN'), (',', ','), ('she', 'PP'), ('jabbed', 'VB'), (""deceit's"", 'NN'), ('sharp', 'JJ'), ('point', 'NN'), ('--', '--'), ('Amy', 'NP'), ('would', 'MD'), ('be', 'BE'), ('reborn', 'VB'), (',', ','), ('a', 'AT'), ('new', 'JJ'), ('child', 'NN'), (',', ','), ('with', 'IN'), ('new', 'JJ'), ('parents', 'NN'), (',', ','), ('living', 'VB'), ('under', 'IN'), ('new', 'JJ'), ('circumstances', 'NN'), ('.', '.')]"
"['Invitations', 'have', 'been', 'extended', 'to', 'some', 'Austin', 'dignitaries', 'including', 'Gov.', 'and', 'Mrs.', 'Price', 'Daniel', '.']","[('Invitations', 'NN'), ('have', 'HV'), ('been', 'BE'), ('extended', 'VB'), ('to', 'IN'), ('some', 'DT'), ('Austin', 'NP'), ('dignitaries', 'NN'), ('including', 'IN'), ('Gov.', 'NN'), ('and', 'CC'), ('Mrs.', 'NP'), ('Price', 'NP'), ('Daniel', 'NP'), ('.', '.')]"
"['Besides', ',', 'there', 'are', 'no', 'longer', 'enough', 'corruptible', 'journalists', 'about', '.']","[('Besides', 'RB'), (',', ','), ('there', 'EX'), ('are', 'BE'), ('no', 'QL'), ('longer', 'RB'), ('enough', 'AP'), ('corruptible', 'JJ'), ('journalists', 'NN'), ('about', 'RB'), ('.', '.')]"
"['The', 'so-called', 'vegetable', 'ivory', 'is', 'the', 'hard', 'endosperm', 'of', 'the', 'egg-sized', 'seed', '.']","[('The', 'AT'), ('so-called', 'JJ'), ('vegetable', 'NN'), ('ivory', 'NN'), ('is', 'BE'), ('the', 'AT'), ('hard', 'JJ'), ('endosperm', 'NN'), ('of', 'IN'), ('the', 'AT'), ('egg-sized', 'JJ'), ('seed', 'NN'), ('.', '.')]"
"['The', 'innocence', 'of', 'which', 'I', 'speak', 'is', ',', 'I', 'know', ',', 'not', 'incorruptible', '.']","[('The', 'AT'), ('innocence', 'NN'), ('of', 'IN'), ('which', 'WD'), ('I', 'PP'), ('speak', 'VB'), ('is', 'BE'), (',', ','), ('I', 'PP'), ('know', 'VB'), (',', ','), ('not', '*'), ('incorruptible', 'JJ'), ('.', '.')]"
"['The', 'senate', 'quickly', 'whipped', 'through', 'its', 'meager', 'fare', 'of', 'House', 'bills', 'approved', 'by', 'committees', ',', 'passing', 'the', 'three', 'on', 'the', 'calendar', '.']","[('The', 'AT'), ('senate', 'NN'), ('quickly', 'RB'), ('whipped', 'VB'), ('through', 'IN'), ('its', 'PP'), ('meager', 'JJ'), ('fare', 'NN'), ('of', 'IN'), ('House', 'NN'), ('bills', 'NN'), ('approved', 'VB'), ('by', 'IN'), ('committees', 'NN'), (',', ','), ('passing', 'VB'), ('the', 'AT'), ('three', 'CD'), ('on', 'IN'), ('the', 'AT'), ('calendar', 'NN'), ('.', '.')]"
"['This', 'was', 'the', 'first', 'word', 'from', 'Jensen', 'on', 'his', 'sudden', 'walkout', '.']","[('This', 'DT'), ('was', 'BE'), ('the', 'AT'), ('first', 'OD'), ('word', 'NN'), ('from', 'IN'), ('Jensen', 'NP'), ('on', 'IN'), ('his', 'PP'), ('sudden', 'JJ'), ('walkout', 'NN'), ('.', '.')]"
"['You', 'cannot', 'wear', 'the', 'banner', 'of', 'God', 'and', 'at', 'the', 'same', 'time', 'harbor', 'envy', ',', 'jealousy', 'and', 'grudges', 'in', 'your', 'heart', '.']","[('You', 'PP'), ('cannot', 'MD'), ('wear', 'VB'), ('the', 'AT'), ('banner', 'NN'), ('of', 'IN'), ('God', 'NP'), ('and', 'CC'), ('at', 'IN'), ('the', 'AT'), ('same', 'AP'), ('time', 'NN'), ('harbor', 'VB'), ('envy', 'NN'), (',', ','), ('jealousy', 'NN'), ('and', 'CC'), ('grudges', 'NN'), ('in', 'IN'), ('your', 'PP'), ('heart', 'NN'), ('.', '.')]"
